id,sequence_id,split
new_tractor,00000,train
new_tractor,00001,train
new_tractor,00002,train
new_tractor,00003,train
new_tractor,00004,train
new_tractor,00005,train
new_tractor,00006,train
new_tractor,00007,train
new_tractor,00008,train
new_tractor,00009,train
new_tractor,00010,train
new_tractor,00011,train
new_tractor,00012,train
new_tractor,00013,train
new_tractor,00014,train
new_tractor,00015,train
new_tractor,00016,train
new_tractor,00017,train
new_tractor,00018,train
new_tractor,00019,train
new_tractor,00020,train
new_tractor,00021,train
new_tractor,00022,train
new_tractor,00023,train
new_tractor,00024,train
new_tractor,00025,train
new_tractor,00026,train
new_tractor,00027,train
new_tractor,00028,train
new_tractor,00029,train
new_tractor,00030,train
new_tractor,00031,train
new_tractor,00032,train
new_tractor,00033,train
new_tractor,00034,train
new_tractor,00035,train
new_tractor,00036,train
new_tractor,00037,train
new_tractor,00038,train
new_tractor,00039,train
new_tractor,00040,train
new_tractor,00041,train
new_tractor,00042,train
new_tractor,00043,train
new_tractor,00044,train
new_tractor,00045,train
new_tractor,00046,train
new_tractor,00047,train
new_tractor,00048,train
new_tractor,00049,train
new_tractor,00050,train
new_tractor,00051,train
new_tractor,00052,train
new_tractor,00053,train
new_tractor,00054,train
new_tractor,00055,train
new_tractor,00056,train
new_tractor,00057,train
new_tractor,00058,train
new_tractor,00059,train
new_tractor,00060,train
new_tractor,00061,train
new_tractor,00062,train
new_tractor,00063,train
new_tractor,00064,train
new_tractor,00065,train
new_tractor,00066,train
new_tractor,00067,train
new_tractor,00068,train
new_tractor,00069,train
new_tractor,00070,train
new_tractor,00071,train
new_tractor,00072,train
new_tractor,00073,train
new_tractor,00074,train
new_tractor,00075,train
new_tractor,00076,train
new_tractor,00077,train
new_tractor,00078,train
new_tractor,00079,train
new_tractor,00080,train
new_tractor,00081,train
new_tractor,00082,train
new_tractor,00083,train
new_tractor,00084,train
new_tractor,00085,train
new_tractor,00086,train
new_tractor,00087,train
new_tractor,00088,train
new_tractor,00089,train
new_tractor,00090,train
new_tractor,00091,train
new_tractor,00092,train
new_tractor,00093,train
new_tractor,00094,train
new_tractor,00095,train
new_tractor,00096,train
new_tractor,00097,train
new_tractor,00098,train
new_tractor,00099,train
new_tractor,00100,val
new_tractor,00101,val
new_tractor,00102,val
new_tractor,00103,val
new_tractor,00104,val
new_tractor,00105,val
new_tractor,00106,val
new_tractor,00107,val
new_tractor,00108,val
new_tractor,00109,val
new_tractor,00110,val
new_tractor,00111,val
new_tractor,00112,val
new_tractor,00113,val
new_tractor,00114,val
new_tractor,00115,val
new_tractor,00116,val
new_tractor,00117,val
new_tractor,00118,val
new_tractor,00119,val
new_tractor,00120,val
new_tractor,00121,val
new_tractor,00122,val
new_tractor,00123,val
new_tractor,00124,val
new_tractor,00125,val
new_tractor,00126,val
new_tractor,00127,val
new_tractor,00128,val
new_tractor,00129,val
new_tractor,00130,val
